torsions:
=========
    { -1, 39, 39, -1, 0.17935, 3.79679, 3.0, 1.2, 2.0 },
    { -1, 37, 64, -1, 6.8, 180.0, 2.0, 1.2, 2.0 },
    { -1, 36, 62, -1, 1.4996, 190.9132, 2.0, 1.2, 2.0 },
    { -1, 35, 68, -1, 1.05, 180.0, 2.0, 1.2, 2.0 },
    { -1, 35, 59, -1, 1.85, 180.0, 2.0, 1.2, 2.0 },
    { -1, 35, 35, -1, 6.65, 180.0, 2.0, 1.2, 2.0 },
    { -1, 34, 63, -1, 10.0, 180.0, 2.0, 1.2, 2.0 },
    { -1, 34, 59, -1, 1.7, 180.0, 2.0, 1.2, 2.0 },
    { -1, -1, 35, -1, 6.65, 180.0, 2.0, 1.2, 2.0 },
    { -1, -1, -1, -1, 1.0, 180.0, 2.0, 1.2, 2.0 },
    { -1, 33, 63, -1, 2.42891, 165.62576, 2.0, 1.2, 2.0 },
    { -1, 33, 62, -1, 1.80425, 186.11929, 2.0, 1.2, 2.0 },
    { -1, 33, 41, -1, 5.52361, 167.71666, 2.0, 1.2, 2.0 },
    { -1, 33, 40, -1, 5.12387, 168.30351, 2.0, 1.2, 2.0 },
    { -1, 32, 64, -1, 4.15, 180.0, 2.0, 1.2, 2.0 },
    { -1, 32, 63, -1, 2.55, 180.0, 2.0, 1.2, 2.0 },
    { -1, 32, 59, -1, 1.65, 180.0, 2.0, 1.2, 2.0 },
    { -1, 32, 36, -1, 3.03935, 188.29035, 2.0, 1.2, 2.0 },
    { -1, 32, 32, -1, 5.45, 180.0, 2.0, 1.2, 2.0 },
    { -1, 31, 67, -1, 0.9, 180.0, 2.0, 1.2, 2.0 },
    { -1, 31, 64, -1, 4.8, 180.0, 2.0, 1.2, 2.0 },
    { -1, 31, 62, -1, 1.5, 180.0, 2.0, 1.2, 2.0 },
    { -1, 31, 60, -1, 1.70322, 187.57404, 2.0, 1.2, 2.0 },
    { -1, 31, 36, -1, 3.6179, 176.97, 2.0, 1.2, 2.0 },
    { -1, 31, 35, -1, 2.55, 180.0, 2.0, 1.2, 2.0 },
    { -1, 31, 32, -1, 3.50241, 174.97344, 2.0, 1.2, 2.0 },
    { -1, 31, 31, -1, 3.18247, 182.53922, 2.0, 1.2, 2.0 },
    { -1, 29, 68, -1, 2.7, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 67, -1, 2.18144, 181.91269, 2.0, 1.2, 2.0 },
    { -1, 29, 65, -1, 2.8, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 64, -1, 4.0, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 62, -1, 1.35, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 59, -1, 1.45, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 58, -1, 1.86422, 181.5121, 2.0, 1.2, 2.0 },
    { -1, 29, 35, -1, 2.175, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 32, -1, 3.0, 180.0, 2.0, 1.2, 2.0 },
    { -1, 29, 31, -1, 3.58712, 177.20947, 2.0, 1.2, 2.0 },
    { -1, 29, 29, -1, 3.625, 180.0, 2.0, 1.2, 2.0 },
    { 14, 39, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 14, 39, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
    { 14, 39, 29, 58, -0.11535, 0.0, -4.0, 1.2, 2.0 },
    { 14, 39, 29, 58, 0.10642, 0.81093, -3.0, 1.2, 2.0 },
    { 14, 39, 29, 58, -0.70075, -10.51754, -2.0, 1.2, 2.0 },
    { 14, 39, 29, 58, 0.19389, 12.35042, 1.0, 1.2, 2.0 },
    { 21, 39, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 21, 39, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
    { 21, 39, 29, 58, -0.11535, 0.0, -4.0, 1.2, 2.0 },
    { 21, 39, 29, 58, 0.10642, 0.81093, -3.0, 1.2, 2.0 },
    { 21, 39, 29, 58, -0.70075, -10.51754, -2.0, 1.2, 2.0 },
    { 21, 39, 29, 58, 0.19389, 12.35042, 1.0, 1.2, 2.0 },
    { 11, 39, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 11, 39, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
    { 11, 39, 29, 58, -0.11535, 0.0, -4.0, 1.2, 2.0 },
    { 11, 39, 29, 58, 0.10642, 0.81093, -3.0, 1.2, 2.0 },
    { 11, 39, 29, 58, -0.70075, -10.51754, -2.0, 1.2, 2.0 },
    { 11, 39, 29, 58, 0.19389, 12.35042, 1.0, 1.2, 2.0 },
    { 2, 39, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 2, 39, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
    { 2, 39, 29, 58, -0.11535, 0.0, -4.0, 1.2, 2.0 },
    { 2, 39, 29, 58, 0.10642, 0.81093, -3.0, 1.2, 2.0 },
    { 2, 39, 29, 58, -0.70075, -10.51754, -2.0, 1.2, 2.0 },
    { 2, 39, 29, 58, 0.19389, 12.35042, 1.0, 1.2, 2.0 },
    { 1, 39, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 1, 39, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
    { 1, 39, 29, 58, -0.11535, 0.0, -4.0, 1.2, 2.0 },
    { 1, 39, 29, 58, 0.10642, 0.81093, -3.0, 1.2, 2.0 },
    { 1, 39, 29, 58, -0.70075, -10.51754, -2.0, 1.2, 2.0 },
    { 1, 39, 29, 58, 0.19389, 12.35042, 1.0, 1.2, 2.0 },
    { 13, 27, 29, 58, -0.01184, 0.0, -6.0, 1.2, 2.0 },
    { 13, 27, 29, 58, -0.02974, 0.0, -5.0, 1.2, 2.0 },
